Filename	Artist	Album	Year	Trackno	Title
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\01 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	1	01 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\02 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	2	02 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\03 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	3	03 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\04 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	4	04 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\05 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	5	05 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\06 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	6	06 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\07 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	7	07 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\08 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	8	08 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\09 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	9	09 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
c:\music\AlBarBQueTahoeCityCA31-MARCH-2016\10 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016.flac	Grant Farm	Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016	0	10	10 - Grant Farm, Moe's Original Bar B Que, Tahoe City CA, 31-MARCH-2016
